cardId,choiceOrder,id,label,result,stat_reputation,stat_money,stat_safety,stat_energy,stat_relationship,stat_self,hidden_time,hidden_evidence,hidden_exposure,hidden_credit,hidden_conflict,hidden_lockChanged,hidden_askedPermission,hidden_keyUncertain,tagsAdded,track_detour,track_seekHelp,track_explain,track_silence,track_concede,track_clearRefusal,track_evidenceSaved,track_paidSafety,require_reputation,require_money,require_safety,require_energy,require_relationship,require_self,requirementReason
C3-05,0,follow-nav,要求按导航走,你说想按导航走。司机照做了。路线回到原来的线上，车里也安静了下来。,,,1,,,1,,,,,1,,,,route_confirmed,,,,,,,,,,,,,,,
C3-05,1,silent,不说话,你没开口。车继续往前开。你盯着地图，把通话界面提前打开。,,,-2,-1,,,,,,,,,,,silent_monitor,,,,1,,,,,,,,,,,
C3-05,2,call,打电话说快到了,你打电话说自己快到了。对方听见你报了路口和车牌。电话挂断后，车里安静了一点。,,,1,,-1,,,,,,,,,,someone_knows,,1,,,,,,,,,,,3,,不想再麻烦别人
C3-06,0,share-elevator,一起进电梯,你一起进了电梯。你看见对方按下的楼层，也把自己的楼层按了下去。,,,-2,,,,1,,,,,,,,shared_elevator,,,,,,,,,,,,,,,
C3-06,1,wait,等下一趟,你让电梯先走。大厅里只剩你一个人等下一趟。,,,1,-1,,,,,,,,,,,avoid_closed_space,1,,,,,,,,,,,,,,
C3-06,2,parcel,假装取快递,你转身去快递架前停了一会儿。等对方上楼后，你才回到电梯口。,,,1,-1,,-1,,,,,,,,,pretend_route,1,,,,1,,,,,,,,,,
C4-02,0,correct-live,立刻纠正,你当场纠正了那个总结。方案说清楚了，几个人也抬头看向你。,,,,-1,,1,,,,,2,,,,corrected_live,,,,,,1,,,,,,,,3,现在说不出口
C4-02,1,wait-add,等他说完补充,你等他说完再补充。错误被补上了，但前半段已经被别人带过去了。,,,,-1,,,,,,-1,,,,,partial_distortion,,,,,,,,,,,,,,,
C4-02,2,written,会后书面说明,你没有现场争。会后写了一封说明，把你的方案和修改点重新发给大家。,,,,-2,,,,2,,1,,,,,written_trace,,,,,,,1,,,,,3,,,没有力气再讲一遍
C4-04,0,take,接下,你接下了。会议纪要按时发出，订餐和材料也都处理完了。没有人问这些是谁做的。,1,,,-2,,-1,,,,,,,,,invisible_labor,,,,,1,,,,,,,,,,
C4-04,1,share,分派给大家,你把任务拆给大家。有人接了，有人没回。最后你还要再催一遍。,,,,-1,,1,,,,,1,,,,task_shared,,,,,,,,,,,,,,,
C4-04,2,refuse,拒绝,你说这次不能都由你来做。群里停了一会儿。后来有些杂事没有再艾特你。,-2,,,1,,1,,,,,,,,,not_warm_flag,,,,,,,,,,,,,,3,现在说不出口
C4-06,0,lower-tone,压低语气继续说,你放慢声音继续说。讨论继续了，但你先处理的是自己的语气，不是那个不公平的决定。,1,,,-2,,-1,,,,,,,,,tone_control,,,,,1,,,,,,,,,,
C4-06,1,stop,停止争论,你停了下来。会议继续推进，记录里没有留下你的异议。,,,,1,,-1,,-1,,,,,,,opinion_disappeared,,,,1,,,,,,,,,,,
C4-06,2,name-problem,指出这句话的问题,你指出这句话把问题转到了你的语气上。对方说你把事情复杂化了。会议里的目光又回到你身上。,-2,,,-1,,1,,,,,2,,,,reaction_flag,,,,,,,,,,,,,,3,现在说不出口
C4-07,0,complete-file,补完整材料,你熬夜把贡献整理成文件。材料更完整了。第二天打开电脑时，你还在想那几页表格。,,,,-2,,,,2,,1,,,,,visible_work,,,,,,,1,,,,,3,,,没有力气再讲一遍
C4-07,1,ally,找同事作证,你找同事帮忙确认。对方愿意替你说一句。你记下这份帮助，也知道下次未必还能这样。,1,,,,-1,,,,,,,,,,ally_statement,,1,,,,,,,,,,,3,,不想再麻烦别人
C4-07,2,core-only,只写核心成果,你只写了最核心的成果。材料变短了，那些临时补上的事也没有写进去。,,,,,,,,,,-2,,,,,missing_contribution,,,,,,,,,,,,,,,
C5-02,0,private,去安静的地方,你答应去清吧。对方很高兴。进门后，你先看了一眼出口和地铁方向。,,,-2,,1,,,,,,,,,,private_place,,,,,,,,,,,,,,,
C5-02,1,public,改公共场所,你把地点改到商场咖啡店。对方说你很谨慎。你没有接这句话，只把时间确认了一遍。,,,1,,-1,,,,,,,,,,public_place,,,,,,,,,,,,,,,
C5-02,2,friend,带朋友短暂出现,你让朋友短暂出现。气氛有些别扭，但这个晚上多了一个知道你在哪里的人。,,,1,,-1,,,,,,,,,,seen_by_friend,,1,,,,,,,,,,,3,,不想再麻烦别人
C5-05,0,clear-no,坚持自己坐地铁回去,对方停了一下，说那你到家说一声。你走向地铁口。回家的路线还是你自己决定。,,,1,,-2,2,,,,,,,,,distance_clear,,,,,,1,,,,,,,,3,现在说不出口
C5-05,1,joke,只说到附近路口,你报了离住处还有一段距离的路口。车很快叫好。你少走了一段夜路，也保留了小区地址。,,,,-1,,,,,,,,,,,distance_blurry,,,,,,,,,,,,,,,
C5-05,2,endure,告诉对方小区名，让他送到门口,你告诉了对方小区名。车停在小区门口。下车时，对方看了一眼门牌，说：原来你住这边。,,,-1,,1,-2,,,,,,,,,distance_retreat,,,,,1,,,,,,,,,,
C5-07,0,explain,明确说不再继续见面,你发了一句：我不想继续见面了。对方沉默了一会儿，又发来很长一段。边界说清楚了，消息没有马上停。,,,,,-1,2,,,,,,,,,boundary_clear,,,,,,1,,,,,,,,,
C5-07,1,stop-reply,解释得更完整一点,你把理由写得很细。对方安静了一会儿，又开始逐条回应你的理由。,,,,-2,-1,,,,,,,,,,explain_loop,,,1,,,,,,,,,3,,,没有力气再讲一遍
C5-07,2,block-save,不再回复，先静音,你把对话静音。手机安静了。消息还在，只是暂时不会跳到屏幕上。,,,-1,1,,,,,,,,,,,muted_unclosed,,,,1,,,,,,,,,,,
C6-02,0,all,按时间线整理,你按时间把消息、地点和截图排好。材料变清楚了。你也又看了一遍那些消息。,,,,-2,,1,,3,,,,,,,evidence_complete,,,,,,,1,,,,,3,,,没有力气再讲一遍
C6-02,1,key,只提交最明显的几条,你只提交最明显的几条。材料短了，也更容易读完。有些不安没有写进去，因为它们很难证明。,,,,-1,,,,1,,,,,,,evidence_limited,,,,,,,,,,,,,,,
C6-02,2,tell,先不提交，等更完整,你先不提交，想等证据更完整。页面停在那里，新的消息还是继续进来。,,,,,,1,,-1,,,,,,,statement_risk,,,,,,,,,,,,,,,
C6-04,0,details,继续补充细节,你又补了几张截图，解释每一次拒绝后对方还在继续联系。材料更完整了，你也又把那些消息看了一遍。,1,,,-2,,,,1,,,,,,,repeat_explain,,,1,,,,,,,,,3,,,没有力气再讲一遍
C6-04,1,feeling,把话拉回“我已经拒绝过”,你删掉多余解释，只留下：我已经明确拒绝继续见面，但对方仍在持续联系。页面安静了一会儿。,,,,,,1,,1,,,,,,,refusal_recorded,,,,,,1,,,,,,,,3,现在说不出口
C6-04,2,facts,接受先记作误会,你接受先记作误会。页面很快进入下一步。工作人员不再追问，对方的行为也没有被写得很重。,,,,1,,-2,,,,,,,,,accepted_misunderstanding,,,,,1,,,,,,,,,,
C6-08,0,accept,接受结果，保存记录,你把页面截图保存下来。结果没有解决问题，但至少留下了你反馈过的记录。,,,,1,,-1,,1,,,,,,,unclosed_issue,,,,,,,1,,,,,,,,
C6-08,1,appeal,继续申诉,你点开申诉入口，又开始整理时间、截图和说明。系统允许你继续，也要求你再说一遍。,,-1,,-2,,1,,,,,,,,,appeal_continue,,,1,,,,,,,,,3,,,没有力气再讲一遍
C6-08,2,leave,关闭页面，先让自己休息,你关掉页面，把手机放到一边。问题没有解决，但你今晚先不再继续处理。,,,,2,,-1,,,,,,,,,paused_unresolved,,,,1,,,,,,,,,,,
CR-reputation,0,lower,接受更低要求,你把要求降了一点。流程继续往前走，你原本想要的标准也少了一点。,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
CR-reputation,1,confirm,找人帮你确认,你找人帮你确认。对方替你说了一句，这句话比你自己说更容易被听完。,1,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,
CR-reputation,2,pause,暂时不争,你暂时不争。流程顺了，后面也少了一个继续处理的机会。,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,
CR-money,0,lower-quality,接受低质量方案,你选了更便宜的方案。钱暂时够了，后面可能要补别的成本。,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR-money,1,borrow,向人求助,你开口借了一点钱。余额被拉回来，人情也要记住。,,2,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,
CR-money,2,give-up,放弃处理,你放弃处理。钱省下来了，事情也按现在的样子留下来。,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,
CR-safety,0,detour,绕远一点,你绕远一点。灯光和人多了，到家的时间也晚了。,,,1,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,
CR-safety,1,call,联系别人,你联系了别人。至少有一个人知道你现在在哪里。,,,1,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,
CR-safety,2,push-through,硬撑过去,你没有改路线，只加快了脚步。路还是那条路。,,,,-1,,,,,1,,,,,,,,,,,,,,,,,,,,,
CR-energy,0,rest,休息一下,你停下来休息了一会儿。力气回来一点，处理事情的时间也往后推了。,-1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CR-energy,1,simplify,简化处理,你把事情简化处理。流程还能继续，有些细节没有再写进去。,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,
CR-energy,2,ask-help,找人帮忙,你找人帮忙。信息不用全由你一个人处理，也要先向对方说明情况。,,,,1,-1,,,,,,,,,,,,1,,,,,,,,,,,,,
CR-relationship,0,alone,独自处理,你决定自己处理。人情省下来了，压力也留在你这里。,,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,
CR-relationship,1,repair,主动恢复关系,你主动发了消息。联系接上了一点，也需要重新解释近况。,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,
CR-relationship,2,no-help,放弃求助,你不再找人帮忙。手机安静了一点，事情也只剩你自己处理。,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CR-self,0,comply,暂时顺从,你先顺着对方的要求做。场面过去了，你想说的话没有说出来。,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,
CR-self,1,write,写下来,你先把判断写下来。它没有当场改变局面，但没有被你直接咽下去。,,,,-1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,
CR-self,2,confirm,找人确认,你找人确认。对方说他也觉得不对，你才更确定自己不是想太多。,,,,,-1,1,,,,,,,,,,,1,,,,,,,,,,,,,
