cardId,choiceOrder,id,label,result,stat_reputation,stat_money,stat_safety,stat_energy,stat_relationship,stat_self,hidden_time,hidden_evidence,hidden_exposure,hidden_credit,hidden_conflict,tagsAdded,track_detour,track_seekHelp,track_explain,track_silence,track_concede,track_clearRefusal,track_evidenceSaved,track_paidSafety,require_reputation,require_money,require_safety,require_energy,require_relationship,require_self,requirementReason
C1-04,1,negotiate,按招聘页争取,对方说可以再申请一下。房间里没有冲突，只有流程短暂停住。你从“合适的人”，变成了“需要再考虑的人”。之后，解释可能会变多一点。,-2.0,1.0,,,,1.0,,,,,,pending_offer,,,,,,,,,,,,,,,
C1-04,2,write-contract,要求写进合同,气氛从聊天变成了确认条款。你留下了依据，也让对方知道你不只是点头。它没有到这里结束。,-1.0,,,,,1.0,,2.0,,,,contract_awareness,,,,,,,1.0,,,,,,,,
C1-07,0,laugh,笑一下,笑声顺利过去。你也一起过去了，只是那句话还留在身体里。你又往后退了一点。,1.0,,,-1.0,,-2.0,,,,,,joke_accepted,,,,1.0,1.0,,,,,,,,,,
C1-07,1,deflect,用玩笑转移,话题被带走了。桌上的气氛没有停下来，你也没有真的回答那句话。,,,,-1.0,,,,,,,,low_conflict,,,,,,,,,,,,,,,
C1-07,2,call-out,说不舒服,有人说只是玩笑。你说出了不舒服，也看见了这句话能让空气变硬。,-2.0,,,,-1.0,1.0,,,,,,too_sensitive_flag,,,,,,1.0,,,,,,,,3.0,这句话卡住了
C2-01,0,near-expensive,近且贵,房子离公司很近，门禁也亮。转账成功后，余额变得很薄。安全在账单里留下了一行。,,-2.0,1.0,1.0,,,,,,,,high_rent,,,,,,,,1.0,,3.0,,,,,余额不够
C2-01,1,far-cheap,远且便宜,你保住了现金。地图上回家的那段路，被拉得更长，也更暗。,,1.0,-2.0,-1.0,,,,,,,,remote_home,,,,,,,,,,,,,,,
C2-01,2,keep-looking,继续找,你刷到更晚。收藏夹变长了，合适的房子没有变多。你更累了。,,,,-1.0,,,-1.0,,,,,search_fatigue,,,,,,,,,,,,,,,
C2-03,0,sign,直接签,合同签完，房子终于定下来。几行没看懂的字，也一起被你签了进去。,,-1.0,,1.0,,,,-2.0,,,,contract_risk,,,,,,,,,,,,,,,
C2-03,1,ask,逐条问,中介解释得很快，语气越来越短。你不一定完全懂，但知道哪里以后可能会出问题。,-1.0,,,-1.0,,1.0,,1.0,,,,asked_terms,,,,,,,,,,,,,,,
C2-03,2,external-check,拍下找人看,你把合同拍给别人。房子被保留到晚上，压力没有消失，只是多了一个人帮你看。下次开口，会更需要斟酌。,,,,,-1.0,,-1.0,2.0,,,,external_check,,1.0,,,,,1.0,,,,,,3.0,,开口变得很重
C2-05,0,let-in,让他进来,水管修好了。门关上以后，房间恢复安静。只是这扇门后面的样子，又被一个陌生人看过。,,,-2.0,,,,,,,,,address_seen,,,,,,,,,,,,,,,
C2-05,1,daytime,改约白天,你把维修推到明天。今晚的问题还在，明天的请假理由也提前出现了。,-1.0,,1.0,-1.0,,,,,,,,leave_request_risk,,,,,,,,,,,,,,,
C2-05,2,call-witness,开电话陪同,电话那头一直有人。维修过程很快，对方也没有多聊。你少了一点不确定，也多用掉一次求助。,,,1.0,,-1.0,,,1.0,,,,call_witness,,1.0,,,,,,,,,,,3.0,,开口变得很重
C3-03,0,power-bank,买充电宝,电量重新变得安全。余额少了一点，但手机不再像一个倒计时。,,-1.0,2.0,,,,,,,,,charged,,,,,,,,1.0,,3.0,,,,,余额不够
C3-03,1,save-money,省钱不买,你把手机扣上，决定快点回去。屏幕变暗时，路好像也跟着变长了。,,,-2.0,,,,,,,,,low_battery,,,,,,,,,,,,,,,
C3-03,2,borrow-charge,借同事充电,同事借你充了一会儿。你晚走了半小时，也多留下一段寒暄。,1.0,,,,1.0,,-1.0,,,,,late_leave,,,,,,,,,,,,,,,
C3-04,0,shortcut,走近路,你走进更短的路。导航显示快了几分钟，周围却安静得太清楚。,,,-2.0,,,,1.0,,1.0,,,night_quiet_route,,,,,,,,,,,,,,,
C3-04,1,main-road,走大路,路灯和店铺一直在。你绕远了，脚步也越来越慢。,,,1.0,-1.0,,,,,,,,habit_detour,1.0,,,,,,,,,,,,,,
C3-04,2,taxi,打车,你坐进车里，不用经过那段路。价格比白天更像一张提醒。余额变薄了。,,-2.0,2.0,,,,,,,,,platform_trip,,,,,,,,1.0,,3.0,,,,,余额不够
C3-05,0,follow-nav,要求按导航走,司机照做了。路线回来了，车里也安静下来。你更安心，气氛也硬了一点。,,,1.0,,,1.0,,,,,1.0,route_confirmed,,,,,,,,,,,,,,,
C3-05,1,silent,不说话,车继续往前开。你盯着地图，手指停在通话界面旁边。你开始更留意周围。,,,-2.0,-1.0,,,,,,,,silent_monitor,,,,1.0,,,,,,,,,,,
C3-05,2,call,打电话说快到了,你对着电话说快到了。车里没有人再问你去哪儿。下次开口，会更需要斟酌。,,,1.0,,-1.0,,,,,,,someone_knows,,1.0,,,,,,,,,,,3.0,,开口变得很重
C3-06,0,share-elevator,一起进电梯,你们一起进了电梯。数字一层层往上跳，你记住了对方按下的楼层。,,,-2.0,,,,1.0,,,,,shared_elevator,,,,,,,,,,,,,,,
C3-06,1,wait,等下一趟,你让电梯先走。大厅里空了一会儿，你也多站了一会儿。,,,1.0,-1.0,,,,,,,,avoid_closed_space,1.0,,,,,,,,,,,,,,
C3-06,2,parcel,假装取快递,你转身去快递架前停了一下。对方先上楼，你才重新走回电梯口。你又绕了一小段。,,,1.0,-1.0,,-1.0,,,,,,pretend_route,1.0,,,,1.0,,,,,,,,,,
C4-02,0,correct-live,立刻纠正,你把话题拉回原处。事实更清楚了，房间也更安静了。,,,,-1.0,,1.0,,,,,2.0,corrected_live,,,,,,1.0,,,,,,,,3.0,这句话卡住了
C4-02,1,wait-add,等他说完补充,你等他说完再补充。错误没有扩大，但重点也不再完全属于你。,,,,-1.0,,,,,,-1.0,,partial_distortion,,,,,,,,,,,,,,,
C4-02,2,written,会后书面说明,你没有在现场争。会后那封说明写了很久，终于留下了痕迹。你更累了。,,,,-2.0,,,,2.0,,1.0,,written_trace,,,,,,,1.0,,,,,,,,
C4-04,0,take,接下,事情顺利运转。会议纪要发出时，没有人问这是谁的工作。你又把一件事接住了。,1.0,,,-2.0,,-1.0,,,,,,invisible_labor,,,,,1.0,,,,,,,,,,
C4-04,1,share,分派给大家,你把任务拆给大家。有人接了，有人没回。你还要再跟一次。,,,,-1.0,,1.0,,,,,1.0,task_shared,,,,,,,,,,,,,,,
C4-04,2,refuse,拒绝,场面停了一下。没人指责你，只是后来有些消息没有再艾特你。,-2.0,,,1.0,,1.0,,,,,,not_warm_flag,,,,,,,,,,,,,,3.0,这句话卡住了
C4-06,0,lower-tone,压低语气继续说,你把声音放慢。讨论继续了，只是你要先证明自己足够平静。你又往后退了一点。,1.0,,,-2.0,,-1.0,,,,,,tone_control,,,,,1.0,,,,,,,,,,
C4-06,1,stop,停止争论,你停了下来。会议继续推进，记录里没有留下你的那部分。,,,,1.0,,-1.0,,-1.0,,,,opinion_disappeared,,,,1.0,,,,,,,,,,,
C4-06,2,name-problem,指出这句话的问题,对方说你把事情复杂化了。问题从决定本身，转向了你的反应。,-2.0,,,-1.0,,1.0,,,,,2.0,reaction_flag,,,,,,,,,,,,,,3.0,这句话卡住了
C4-07,0,complete-file,补完整材料,你熬夜把贡献整理出来。文件夹变完整了。你坐在屏幕前，很久没有动。,,,,-2.0,,,,2.0,,1.0,,visible_work,,,,,,,1.0,,,,,3.0,,,没有力气再讲一遍
C4-07,1,ally,找同事作证,有人愿意替你说一句。你记下了这份帮助，也知道它不能每次都有。,1.0,,,,-1.0,,,,,,,ally_statement,,1.0,,,,,,,,,,,3.0,,开口变得很重
C4-07,2,core-only,只写核心成果,材料很简洁。那些被你顺手接住的工作，也像从来没有发生过。,,,,,,,,,,-2.0,,missing_contribution,,,,,,,,,,,,,,,
C5-02,0,private,去安静的地方,你接受了那个安静的地方。对方显得高兴，你开始留意出口在哪里。,,,-2.0,,1.0,,,,,,,private_place,,,,,,,,,,,,,,,
C5-02,1,public,改公共场所,你把地点改到人多的地方。对方说你很谨慎，像在评价，也像在开玩笑。,,,1.0,,-1.0,,,,,,,public_place,,,,,,,,,,,,,,,
C5-02,2,friend,带朋友短暂出现,朋友短暂出现。气氛有些别扭，但这个晚上多了一个知道你在哪的人。,,,1.0,,-1.0,,,,,,,seen_by_friend,,1.0,,,,,,,,,,,3.0,,开口变得很重
C5-05,0,clear-no,明确说“不”,距离被说清楚了。对方停下来，气氛也一起停了一下。你更清楚自己不想退到哪里。,,,1.0,,-2.0,2.0,,,,,,distance_clear,,,,,,1.0,,,,,,,,3.0,这句话卡住了
C5-05,1,joke,用玩笑带过,你用笑把距离拉开一点。对方也笑了，但你不确定他听懂了多少。,,,,-1.0,,,,,,,,distance_blurry,,,,,,,,,,,,,,,
C5-05,2,endure,暂时忍一下,事情没有立刻变糟。只是你把不舒服先放到了自己身上。你又往后退了一点。,,,-1.0,,1.0,-2.0,,,,,,distance_retreat,,,,,1.0,,,,,,,,,,
C5-07,0,explain,解释清楚,你发了很长的消息。对方继续追问，像是只有你说到他满意，事情才算结束。,,,,-2.0,-1.0,,,,,,,explain_loop,,,1.0,,,,,,,,,3.0,,,没有力气再讲一遍
C5-07,1,stop-reply,不再回复,手机安静了一会儿。你没有继续喂给这段关系新的理由。,,,-1.0,1.0,,,,,,,,unclosed_relation,,,,1.0,,,,,,,,,,,
C5-07,2,block-save,拉黑并保存记录,消息停了，记录留下。你没有解决所有问题，只是让门像是关紧了一点。,,,1.0,,-1.0,1.0,,2.0,,,,record_saved,,,,,,,1.0,,,,,,,,
C6-02,0,all,全部整理,文件夹一点点完整起来。你把经历拆成时间、地点、截图和编号，也把自己拆得很累。,,,,-2.0,,1.0,,3.0,,,,evidence_complete,,,,,,,1.0,,,,,3.0,,,没有力气再讲一遍
C6-02,1,key,只整理关键,你留下最关键的几项。材料能说明一些东西，也留下了一些会被追问的空白。,,,,-1.0,,,,1.0,,,,evidence_limited,,,,,,,,,,,,,,,
C6-02,2,tell,直接说,你保留了事情最原本的样子。只是流程更习惯接收材料，而不是一段混乱的经历。,,,,,,1.0,,-1.0,,,,statement_risk,,,,,,,,,,,,,,,
C6-04,0,details,补充细节,你补充更多细节。对方的表情有一点变化，你的力气少了很多。,1.0,,,-2.0,,,,,,,,repeat_explain,,,1.0,,,,,,,,,3.0,,,没有力气再讲一遍
C6-04,1,feeling,强调感受,对方说理解你的心情。你听见“心情”这个词时，知道事情正在变轻。,,,,,,1.0,,,,,,feeling_framed,,,,,,,,,,,,,,,
C6-04,2,facts,要求按事实处理,你把话拉回事实。对方没有再安慰你，也不得不继续记下去。,,,,,,1.0,,,,,1.0,fact_frame,,,,,,1.0,,,,,,,,3.0,这句话卡住了
C6-08,0,accept,接受结果,流程到这里结束。页面显示已处理。你知道它只是停止了，不是解决了。,,,,1.0,,-2.0,,,,,,unclosed_issue,,,,,,,,,,,,,,,
C6-08,1,appeal,继续申诉,你继续往下走。每多走一步，都要再花掉一点生活。,,-1.0,,-2.0,,1.0,,,,,,appeal_continue,,,1.0,,,,,,,,,3.0,,,没有力气再讲一遍
C6-08,2,leave,离开环境,你离开这个环境。风险被切断一部分，过去积累的东西也被迫留在身后。,-1.0,-2.0,1.0,,,,,,,,,exit_cost,,,,,,,,1.0,,3.0,,,,,余额不够
CR-reputation,0,lower,接受更低要求,事情继续推进，但你把标准往后退了一点。,1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,
CR-reputation,1,confirm,找人帮你确认,有人替你说了一句。话变得更容易被听完。,1.0,,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,
CR-reputation,2,pause,暂时不争,流程顺了，问题也少了一部分入口。,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,
CR-money,0,low-quality,接受低质量方案,钱暂时够了。代价会在之后出现。,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
CR-money,1,borrow,向人求助,余额被拉回来一点，人情也被记下。,,2.0,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,
CR-money,2,drop,放弃处理,你少花了一笔钱，也少了一次改变局面的机会。,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,
CR-safety,0,detour,绕远一点,灯光和人群多了，路也长了。,,,1.0,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
CR-safety,1,contact,联系别人,你让另一个人知道自己在哪里。,,,1.0,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,
CR-safety,2,push,硬撑过去,你没有改变路线，只把速度加快了一点。,,,,-1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
CR-energy,0,rest,休息一下,你恢复了一些力气，也错过了一点机会。,-1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
CR-energy,1,simplify,简化处理,事情还能推进，但细节被压缩掉了。,,,,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,
CR-energy,2,help,找人帮忙,你不用一个人处理所有信息。,,,,1.0,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,
CR-relationship,0,alone,独自处理,你省下了人情，也把压力留给了自己。,,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
CR-relationship,1,repair,主动恢复关系,你发出消息，重新接上一点联系。,,,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CR-relationship,2,give-up,放弃求助,你不再打扰别人，事情也更安静地压回你身上。,,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
CR-self,0,comply,暂时顺从,场面顺利过去，你又退了一点。,,,,1.0,,-1.0,,,,,,,,,,,1.0,,,,,,,,,,
CR-self,1,write,写下来,你先不当场说，把自己的判断留住。,,,,-1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,
CR-self,2,confirm,找人确认,另一个人的回应帮你把感觉扶正了一点。,,,,,-1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
